GEOCODE,LEGDIST22,LEGDIST22NAME,P00010001,RANK_POP,POPDEN,H00010001,H00010002,H00010003,OCC,VAC,LANDSQMI,AREASQMI,WATERPCT,P00010002,P00010003,P00010004,P00010005,P00010006,P00010007,P00010008,P00010009,P00020001,P00020002,P00020003,P00020004,P00020005,P00020006,P00020007,P00020008,P00020009,P00020010,P00020011,P00030001,P00030002,P00030003,P00030004,P00030005,P00030006,P00030007,P00030008,P00030009,P00040001,P00040002,P00040003,P00040004,P00040005,P00040006,P00040007,P00040008,P00040009,P00040010,P00040011,C0010001,C0010002,C0010003,C0010004,C0010005,C0010006,C0020001,C0020002,C0020003,C0020004,C0020005,C0020006,C0030001,C0030002,C0030003,C0030004,C0030005,C0030006,C0040001,C0040002,C0040003,C0040004,C0040005,C0040006,P00010010,P00010011,P00010012,P00010013,P00010014,P00010015,P00010016,P00010017,P00010018,P00010019,P00010020,P00010021,P00010022,P00010023,P00010024,P00010025,T0050001,P00050001,P00050002,P00050003,P00050004,P00050005,P00050006,P00050007,P00050008,P00050009,P00050010
5325,25,District 25,157063,24,2387.4,59658,57241,2417,95.95,4.05,65.7884384,66.20651177,0.631468649,137320,106805,7924,2268,9768,2746,7809,19743,157063,18299,138764,125214,102764,7610,1746,9545,2634,915,13550,119285,107715,85383,5813,1642,7740,1776,5361,11570,119285,11448,107837,99822,82955,5634,1240,7615,1719,659,8015,124905,12422,6727,15820,4512,14674,115119,11360,5408,14876,4175,2802,96059,7795,4632,10850,2621,9892,90277,7361,3822,10453,2476,2091,17740,2651,3172,3947,554,5869,185,326,97,196,62,27,88,439,93,34,2003,1268,565,30,17,518,0,703,19,0,684
5326,26,District 26,157657,8,740.56,64383,59668,4715,92.68,7.32,212.8890605,304.8027273,30.15513267,140563,123839,3912,1658,5963,1381,3810,17094,157657,12385,145272,132815,119683,3682,1306,5772,1317,1055,12457,125634,114848,101305,3194,1291,5092,1035,2931,10786,125634,8491,117143,109256,98450,3055,1037,4938,1003,773,7887,139889,6707,6164,10927,2972,9802,131360,6047,5125,10289,2745,3308,111414,4629,4509,7737,1908,7109,105824,4288,3837,7393,1792,2464,15570,1694,3502,3490,606,5291,116,161,62,103,49,17,52,336,63,28,1524,6341,1913,1092,35,786,0,4428,76,3532,820
5327,27,District 27,156386,48,3624.67,70191,66104,4087,94.18,5.82,43.14493619,61.08896412,29.37359994,136992,99046,14184,2248,11880,2713,6921,19394,156386,16849,139537,125571,95012,13613,1725,11634,2655,932,13966,127327,115013,84471,11462,1716,10102,1925,5337,12314,127327,11849,115478,106568,81598,11105,1332,9930,1899,704,8910,116386,20349,6561,17803,4302,12820,107415,18922,5193,16912,4043,2636,95465,14712,4777,13536,2798,9541,89481,13969,3908,13117,2702,2036,17194,3591,2711,3675,464,4799,337,516,122,308,73,36,68,381,96,17,2200,6799,3217,2241,60,856,60,3582,1750,0,1832
5328,28,District 28,157375,10,1003.46,60618,56830,3788,93.75,6.25,156.8318614,193.5227213,18.95945846,135622,89685,17486,1738,13233,4253,9227,21753,157375,23257,134118,119398,83627,16587,1255,12922,4082,925,14720,120747,108034,72697,13448,1276,11061,2852,6700,12713,120747,15228,105519,96879,68695,12923,940,10869,2779,673,8640,108860,24712,5785,20055,6347,16229,96479,22529,4413,18934,5865,2480,83795,17017,3959,14746,3929,11312,76104,15970,3141,14222,3749,1838,19209,4137,2364,4054,574,5616,317,617,185,425,54,22,99,533,137,75,2544,10069,1168,309,14,186,659,8901,0,8263,638
5329,29,District 29,156309,49,4576.56,57181,54665,2516,95.6,4.4,34.15428604,34.70053491,1.57417995,134112,73429,18588,3338,17011,6088,15658,22197,156309,28540,127769,112651,68809,17755,2365,16763,5883,1076,15118,118573,105455,60676,13959,2376,13933,4073,10438,13118,118573,17956,100617,91633,57876,13514,1754,13765,3973,751,8984,92686,26556,8358,23146,8307,22485,81831,24479,6266,22122,7827,2408,71961,17771,5766,17392,5222,14934,65513,16814,4526,16929,5021,1737,19493,4583,2971,3224,532,5362,389,659,289,451,99,29,175,573,113,44,2704,2203,528,0,0,528,0,1675,1022,0,653
5330,30,District 30,156975,33,4031.38,57186,54939,2247,96.07,3.93,38.93826458,47.33494711,17.73886535,137995,70559,18357,1942,22586,5865,18686,18980,156975,32189,124786,114086,66152,17844,1036,22379,5756,919,10700,120031,108084,58710,13218,1505,18406,3862,12383,11947,120031,20727,99304,92536,55934,12968,861,18289,3801,683,6768,87382,22938,5662,27487,7399,27225,75385,21631,3840,26743,7111,2159,69285,15663,4243,21179,4717,18068,61698,15029,3033,20836,4585,1656,17088,2455,2126,2843,397,7225,288,342,91,340,76,20,176,491,166,52,1892,1403,643,0,0,639,4,760,0,0,760
5331,31,District 31,157068,23,181.81,59641,56742,2899,95.14,4.86,863.9074926,870.0317503,0.70391198,139732,117452,3659,3638,7331,1454,6198,17336,157068,15046,142022,130042,114054,3529,3051,7171,1397,840,11980,118818,108613,92405,2711,2501,5781,1007,4208,10205,118818,9309,109509,102360,90329,2647,2131,5695,984,574,7149,133679,6532,8198,11898,2851,12915,125251,5944,6922,11273,2607,3082,101916,4053,5599,7999,1734,8468,96969,3769,4850,7756,1638,2155,15877,1711,3476,3157,500,5980,160,147,47,115,63,33,90,284,80,34,1459,1603,261,0,53,180,28,1342,15,0,1327
5332,32,District 32,157036,28,5178.11,67106,64190,2916,95.65,4.35,30.32690267,43.46607204,30.22856392,139881,94517,10590,1458,24155,837,8324,17155,157036,17695,139341,128324,91359,10405,896,23951,800,913,11017,127128,116183,80047,7816,1191,20427,670,6032,10945,127128,12296,114832,107958,77932,7693,747,20283,649,654,6874,110470,13599,4800,29635,1808,15466,101512,13018,3474,28948,1679,2688,90172,9462,3647,23323,1272,11059,84218,9149,2715,22942,1206,2020,15713,1835,2255,4016,273,6201,131,219,25,166,63,14,103,284,106,22,1442,3202,1151,43,12,1096,0,2051,355,0,1696
5333,33,District 33,156821,41,3453.7,62339,58976,3363,94.61,5.39,45.40666984,60.70526775,25.20143387,138769,67631,22036,2023,23649,4335,19095,18052,156821,31977,124844,114801,63579,21662,1031,23442,4264,823,10043,122933,111197,58855,15995,1556,18695,2923,13173,11736,122933,21585,101348,94791,56122,15749,874,18570,2886,590,6557,83479,25805,5586,28480,5693,27669,72186,24783,3614,27800,5471,2168,69151,18143,4193,21404,3727,19073,61708,17532,2865,21075,3617,1711,16419,1869,1967,2923,374,7160,299,351,74,305,96,33,330,458,152,28,1633,3292,2459,1652,10,797,0,833,0,0,833
5334,34,District 34,156743,44,2401.78,70602,66222,4380,93.8,6.2,65.26113596,131.0523551,50.20224099,138826,95476,12373,1863,17933,1120,10061,17917,156743,20889,135854,124787,91928,12037,1080,17736,1063,943,11067,127978,116067,82177,8794,1510,15355,821,7410,11911,127978,15039,112939,105815,79598,8584,927,15207,782,717,7124,111932,15849,5430,23390,2004,17956,102127,14836,3721,22699,1828,2857,93082,10846,4184,18324,1364,13195,86127,10228,2974,17929,1263,2206,16235,1840,2132,3951,297,6655,170,267,31,289,61,20,182,179,146,15,1682,4151,1486,830,40,570,46,2665,0,204,2461
5335,35,District 35,158942,3,115.12,70437,60625,9812,86.07,13.93,1380.637288,1506.759517,8.370428547,142331,124819,2401,3797,4316,826,6172,16611,158942,14627,144315,132548,121379,2279,2896,4208,791,995,11767,126753,116028,103052,1878,2763,3593,658,4084,10725,126753,9166,117587,109896,100962,1809,2189,3524,638,774,7691,140534,4552,9253,8104,2094,12404,132506,4080,7630,7614,1885,3211,113213,2921,6588,5632,1388,8467,108228,2697,5612,5404,1291,2472,15375,1364,4536,2619,469,5521,74,100,47,105,54,29,62,314,64,17,1236,3060,2767,2473,27,267,0,293,0,0,293
